representation_init_time,kpn,time_representation,mapper,trace,mappings_cached,processes_in_task,tgff,time_simulating,platform,mappings_evaluated,estimated_total_time,best_mapping_time,log_level
0.0003523340019455645,tgff_reader,0.8788807129999441,random_walk,tgff_reader,0,5,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",1.684272785000002,mppa_coolidge,500,7.323940992355347,815.837953334,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,5,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",0.0,exynos,1,0.46799612045288086,0.3058135,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",0.0,exynos,1,0.46399617195129395,0.0080765,ERROR
0.0015589520007779356,tgff_reader,0.8936286480000035,random_walk,tgff_reader,0,6,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",1.788726840000001,mppa_coolidge,500,7.4879395961761475,1212.50319,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,4,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",0.0,mppa_coolidge,1,14.267884731292725,408.756951,ERROR
0.0021808259989484213,tgff_reader,1.0459156909996636,random_walk,tgff_reader,0,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",1.8818728620000003,mppa_coolidge,500,8.291932582855225,920.449872167,ERROR
0.0003645819997473154,tgff_reader,1.3943991579913018,genetic,tgff_reader,149,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",1.3169130070068604,mppa_coolidge,380,8.647929668426514,14.199921665,ERROR
0.00036350700247567147,tgff_reader,0.8822671820000778,random_walk,tgff_reader,0,5,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",2.784286485999996,mppa_coolidge,500,7.767936706542969,841.4275505,ERROR
0.0003702649992192164,tgff_reader,9.326272251999626,simulated_annealing,tgff_reader,173,5,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",14.831491873007053,mppa_coolidge,5137,72.17141556739807,409.168717166,ERROR
0.0003520760001265444,tgff_reader,4.955775168003811,simulated_annealing,tgff_reader,75,5,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",8.623399129002564,mppa_coolidge,2842,40.26367425918579,806.669604666,ERROR
0.00012811900160158984,tgff_reader,0.20805072899952393,simulated_annealing,tgff_reader,3,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",0.8950961850002841,exynos,338,4.275965452194214,0.0040255,ERROR
0.00034783500086632557,tgff_reader,0.04558949099828169,genetic,tgff_reader,481,1,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",0.05283985599953667,mppa_coolidge,40,2.015983819961548,0.0005065,ERROR
0.0013638890013680793,tgff_reader,0.03601485099989077,random_walk,tgff_reader,0,1,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",0.7524260479999998,mppa_coolidge,500,5.175958156585693,0.0005065,ERROR
0.0001273160014534369,tgff_reader,0.2475418689999742,random_walk,tgff_reader,0,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",0.8449189740000005,exynos,500,2.935974597930908,1.650468206,ERROR
0.00012553199849207886,tgff_reader,0.153057361000009,random_walk,tgff_reader,0,4,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",0.8392954409999996,exynos,500,2.943974733352661,0.003627234,ERROR
0.0011915319992112927,tgff_reader,1.0245252299946515,simulated_annealing,tgff_reader,541,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",1.4652984179947453,mppa_coolidge,720,11.159909009933472,403.334933333,ERROR
0.00032225099857896566,tgff_reader,1.8730272989987498,genetic,tgff_reader,151,9,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",1.7487251890003108,mppa_coolidge,376,10.05591869354248,1216.006049832,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,5,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",0.0,mppa_coolidge,1,16.399866819381714,737.6470505,ERROR
0.0003398550034034997,tgff_reader,1.3679123709998748,random_walk,tgff_reader,0,7,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",2.1905974759999993,mppa_coolidge,500,8.567930698394775,4012.2025505,ERROR
0.0001311249980062712,tgff_reader,0.5593123399995648,tabu_search,tgff_reader,1929,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",0.4114902660002713,exynos,362,3.12797474861145,0.002001,ERROR
0.000347171000612434,tgff_reader,0.21541706700008945,random_walk,tgff_reader,0,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",0.9805025780000013,mppa_coolidge,500,6.099951982498169,3.334333833,ERROR
0.00012386199887259863,tgff_reader,1.1515609960003417,tabu_search,tgff_reader,116,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",5.045887709997828,exynos,1931,13.979887247085571,0.0040255,ERROR
0.00012952899851370603,tgff_reader,0.029068562999952974,simulated_annealing,tgff_reader,41,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",0.09437769599946932,exynos,72,1.2799897193908691,0.003071929,ERROR
0.00012100599997211248,tgff_reader,0.6779996830005643,tabu_search,tgff_reader,1061,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",1.568436045000169,exynos,996,6.663942813873291,0.00237,ERROR
0.0001278810013900511,tgff_reader,0.06216509900013989,simulated_annealing,tgff_reader,21,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",0.24833190100014235,exynos,155,2.031982660293579,0.002571429,ERROR
0.00012977799997315742,tgff_reader,0.31293654299980744,genetic,tgff_reader,161,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",0.9869119899995553,exynos,376,5.11595892906189,0.0040255,ERROR
0.0003613500011852011,tgff_reader,0.214035972000147,random_walk,tgff_reader,0,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",0.9850865849999993,mppa_coolidge,500,6.115951776504517,3.334333833,ERROR
0.00013147400022717193,tgff_reader,0.1534357269999873,random_walk,tgff_reader,0,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",0.8479114579999991,exynos,500,2.963974714279175,3.298850178,ERROR
0.00013116300033289008,tgff_reader,0.6626442219993578,tabu_search,tgff_reader,987,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",1.644744639000578,exynos,1034,6.7879416942596436,0.0023025,ERROR
0.0014443000000028405,tgff_reader,4.372031799997785,tabu_search,tgff_reader,44,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",6.5549218139808545,mppa_coolidge,1916,21.71182346343994,1003.334833833,ERROR
0.0014456649987550918,tgff_reader,2.27859915800002,tabu_search,tgff_reader,291,4,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",4.498615959998915,mppa_coolidge,1709,15.811872243881226,406.669117166,ERROR
0.0013808240000798833,tgff_reader,1.4497628069912025,simulated_annealing,tgff_reader,2423,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",0.7541568010046831,mppa_coolidge,430,14.57588529586792,3.334333833,ERROR
0.00029434300085995346,tgff_reader,0.05078367199999434,simulated_annealing,tgff_reader,20,4,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",0.1930520029999201,exynos,121,1.7119853496551514,0.002251,ERROR
0.00012494899783632718,tgff_reader,0.5286031219999359,tabu_search,tgff_reader,3336,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",0.053831072999798835,exynos,72,1.9959838390350342,0.001649,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",0.0,exynos,1,0.48799610137939453,0.024642857,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",0.0,exynos,1,0.48799610137939453,0.024642857,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",0.0,mppa_coolidge,1,15.223876237869263,403.334834333,ERROR
0.0014040380010555964,tgff_reader,4.376574722001351,tabu_search,tgff_reader,44,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",6.564861280000969,mppa_coolidge,1916,21.591824531555176,1003.334833833,ERROR
0.00012703900210908614,tgff_reader,0.11250010800003452,simulated_annealing,tgff_reader,3,6,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",0.5184107710000063,exynos,208,2.787976026535034,0.003318357,ERROR
0.0001222870014316868,tgff_reader,0.996835218000129,tabu_search,tgff_reader,86,6,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",4.949712388999998,exynos,2026,14.015879392623901,0.003318357,ERROR
0.000338213998475112,tgff_reader,0.2583237399999234,genetic,tgff_reader,302,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",0.3710519979986202,mppa_coolidge,214,3.5839719772338867,3.349833833,ERROR
0.0003408900010981597,tgff_reader,17.03612574800718,simulated_annealing,tgff_reader,77,7,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",22.212318310993624,mppa_coolidge,5435,92.84724855422974,713.052599999,ERROR
0.00013271099669509567,tgff_reader,0.17429548900014424,genetic,tgff_reader,223,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",0.47427663400009124,exynos,297,3.7839674949645996,0.002323,ERROR
0.00032376200033468194,tgff_reader,0.9283033990002423,genetic,tgff_reader,176,5,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",1.0324948379948182,mppa_coolidge,342,6.3959479331970215,800.0470505,ERROR
0.000355680997017771,tgff_reader,0.6184784249999211,random_walk,tgff_reader,0,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",1.2175236109999987,mppa_coolidge,500,6.559948205947876,12.104883833,ERROR
0.00019219399837311357,tgff_reader,1.1730787160001341,tabu_search,tgff_reader,116,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",5.000461967000092,exynos,1931,14.091886520385742,0.0040255,ERROR
0.0003333750028104987,tgff_reader,0.25376292499322517,genetic,tgff_reader,302,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",0.3651294000001144,mppa_coolidge,214,3.551971912384033,3.349833833,ERROR
0.00012511500244727358,tgff_reader,0.11409488799995415,random_walk,tgff_reader,0,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",0.6206858389999992,exynos,500,3.0239756107330322,0.002251,ERROR
0.00013117300113663077,tgff_reader,0.7869659379995255,tabu_search,tgff_reader,967,4,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",1.8885048149997488,exynos,1059,7.2799413204193115,0.002376,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,5,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",0.0,exynos,1,0.4719960689544678,2.0075735,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",0.0,mppa_coolidge,1,14.227884292602539,7397.628001,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",0.0,exynos,1,0.4719963073730469,0.01621,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,4,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",0.0,exynos,1,0.46399617195129395,0.0084,ERROR
0.00034222799877170473,tgff_reader,0.5543789070000003,random_walk,tgff_reader,0,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",1.442204883000001,mppa_coolidge,500,6.595946550369263,10504.538099999,ERROR
0.00013378899893723428,tgff_reader,0.07189876300003561,random_walk,tgff_reader,0,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",0.40026966600000025,exynos,500,2.8519771099090576,0.0020005,ERROR
0.00036109400025452487,tgff_reader,2.3172820169979786,tabu_search,tgff_reader,186,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",4.423142852005185,mppa_coolidge,1718,15.715872526168823,406.678746666,ERROR
0.00013264399967738427,tgff_reader,0.08657314400034011,genetic,tgff_reader,462,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",0.04312177999992173,exynos,56,2.0279836654663086,0.001649,ERROR
0.00012552399857668206,tgff_reader,0.1754161569993471,genetic,tgff_reader,218,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",0.48610714999972515,exynos,302,3.65596866607666,0.00237,ERROR
0.00012518199946498498,tgff_reader,0.31248744399965744,genetic,tgff_reader,161,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",0.9920906629995443,exynos,376,4.959959983825684,0.0040255,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,7,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",0.0,exynos,1,0.4719960689544678,2.022567,ERROR
0.00012985200010007247,tgff_reader,0.5623423699996124,tabu_search,tgff_reader,1960,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",0.4161613890001945,exynos,365,3.143974542617798,0.002001,ERROR
0.0003648149977379944,tgff_reader,1.6184343919985622,tabu_search,tgff_reader,918,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",2.6518906720070845,mppa_coolidge,1150,10.395915269851685,403.334834333,ERROR
0.00012107600196031854,tgff_reader,0.040091860000302404,simulated_annealing,tgff_reader,38,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",0.1431027130000757,exynos,110,1.5879871845245361,0.002001,ERROR
0.0003484939988993574,tgff_reader,0.5543926709999596,random_walk,tgff_reader,0,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",1.4379921520000005,mppa_coolidge,500,7.075942754745483,5261.652950001,ERROR
0.00034056699951179326,tgff_reader,0.7132692760001191,random_walk,tgff_reader,0,4,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",2.6481602829999975,mppa_coolidge,500,7.335940361022949,32.922321667,ERROR
0.00022289199841907248,tgff_reader,0.2143178780006565,simulated_annealing,tgff_reader,3,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",0.9106563440005857,exynos,338,4.543963432312012,0.0040255,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",0.0,mppa_coolidge,1,17.083861351013184,2154.71693,ERROR
0.00013857399972039275,tgff_reader,0.07822300199961774,simulated_annealing,tgff_reader,18,4,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",0.30123428500047567,exynos,165,2.167982578277588,0.002376,ERROR
0.0003935919994546566,tgff_reader,12.969459577995167,simulated_annealing,tgff_reader,147,5,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",20.263723715993592,mppa_coolidge,6264,90.71926355361938,806.668717166,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",0.0,mppa_coolidge,1,19.871838331222534,413.372883833,ERROR
0.0001255349998245947,tgff_reader,0.1786895719998114,genetic,tgff_reader,188,4,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",0.5262850049998491,exynos,332,3.7839674949645996,0.002251,ERROR
0.0017725969992170576,tgff_reader,0.7038276589976249,genetic,tgff_reader,164,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",1.0232510249993538,mppa_coolidge,350,5.875952482223511,10.002151499,ERROR
0.00034686800063354895,tgff_reader,1.5588082939999595,random_walk,tgff_reader,0,9,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",2.5441346979999984,mppa_coolidge,500,9.34792447090149,856.422811,ERROR
0.00038095899799373,tgff_reader,11.728924519003272,simulated_annealing,tgff_reader,1166,4,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",21.870144071003097,mppa_coolidge,7941,106.43114066123962,406.668717166,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",0.0,exynos,1,0.46399617195129395,0.0080765,ERROR
0.00037557200266746804,tgff_reader,1.4554691180096597,simulated_annealing,tgff_reader,2423,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",0.7540842379994501,mppa_coolidge,430,14.679884195327759,3.334333833,ERROR
0.0014293120002548676,tgff_reader,3.134411899998895,tabu_search,tgff_reader,103,5,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",5.629883874006282,mppa_coolidge,1904,19.059845685958862,410.002567999,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",0.0,mppa_coolidge,1,19.719839572906494,413.372883833,ERROR
0.00012284300100873224,tgff_reader,1.8539525280000078,tabu_search,tgff_reader,13,9,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",8.702611327000142,exynos,2173,19.77982997894287,0.009029929,ERROR
0.0001269290005438961,tgff_reader,0.11290483899995252,random_walk,tgff_reader,0,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",0.6210263759999998,exynos,500,2.983976125717163,0.0021495,ERROR
0.0013343469981919043,tgff_reader,12.015421832003085,simulated_annealing,tgff_reader,1447,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",20.598873148007442,mppa_coolidge,7436,102.89516520500183,10.018090499,ERROR
0.0003646159966592677,tgff_reader,8.713073159986607,simulated_annealing,tgff_reader,734,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",15.716954654007623,mppa_coolidge,5889,78.91536045074463,406.668768666,ERROR
0.0001247020009031985,tgff_reader,0.012650399999870388,simulated_annealing,tgff_reader,46,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",0.020231747999901017,exynos,25,0.875993013381958,0.001649,ERROR
0.0,tgff_reader,0.0,gbm,tgff_reader,0,5,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",0.0,mppa_coolidge,1,17.207860708236694,410.837533833,ERROR
0.00038587100061704405,tgff_reader,14.796247505998053,simulated_annealing,tgff_reader,49,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",20.020868942007382,mppa_coolidge,5429,86.15129947662354,13.338988332,ERROR
0.0001967369971680455,tgff_reader,0.5321955070008357,tabu_search,tgff_reader,3336,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",0.057768812000176695,exynos,72,2.20398211479187,0.001649,ERROR
0.00019732399960048497,tgff_reader,0.5273807330012232,tabu_search,tgff_reader,3336,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",0.055251143999953456,exynos,72,1.9959838390350342,0.001649,ERROR
0.0001312320018769242,tgff_reader,0.18531284799991,simulated_annealing,tgff_reader,13,5,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",0.8402305110001294,exynos,409,4.679959774017334,0.002571429,ERROR
0.00012418400001479313,tgff_reader,0.26965845000000854,random_walk,tgff_reader,0,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",1.3640120220000012,exynos,500,3.3639729022979736,0.005924183,ERROR
0.00032739299786044285,tgff_reader,1.081738491000749,genetic,tgff_reader,157,6,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",1.3633863279998764,mppa_coolidge,376,7.507939338684082,413.336496332,ERROR
0.00013036800010013394,tgff_reader,0.5136832490001382,simulated_annealing,tgff_reader,5,7,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",2.0252294370000072,exynos,633,8.523926973342896,0.008603572,ERROR
0.0001299579998885747,tgff_reader,0.13563258300030157,genetic,tgff_reader,347,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",0.20113074099987216,exynos,170,2.7039783000946045,0.002001,ERROR
0.0003390810015844181,tgff_reader,0.4367223319968616,genetic,tgff_reader,332,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",0.3675051049967806,mppa_coolidge,186,4.359964609146118,6.668217166,ERROR
0.00034289299946976826,tgff_reader,14.311325294997687,simulated_annealing,tgff_reader,2,9,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",21.90910154399728,mppa_coolidge,4322,81.23534345626831,1513.441144332,ERROR
0.0003492030009510927,tgff_reader,0.25722828199968717,genetic,tgff_reader,302,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",0.37294117399551396,mppa_coolidge,214,3.575971841812134,3.349833833,ERROR
0.00012480800069170073,tgff_reader,0.19360137699999314,random_walk,tgff_reader,0,5,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",1.0917387740000004,exynos,500,3.0879733562469482,0.003429072,ERROR
0.00033088000054704025,tgff_reader,0.43872250600225016,genetic,tgff_reader,332,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",0.43481363799992323,mppa_coolidge,186,3.8159687519073486,6.668217166,ERROR
0.00012916100240545347,tgff_reader,0.8125096969994274,tabu_search,tgff_reader,382,5,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",3.297894680001292,exynos,1633,10.763907432556152,0.002571429,ERROR
