Mode,instance,UserTime,SysTime,WallTime,E_arm,E_mem,E_gpu,E_little,tetris
Tetris wct,i1,13.81,0.30,7.90,38.716493,0.591750,0.088894,4.889959,16.170757
Tetris wct,i1,14.52,0.37,8.70,42.845856,0.645928,0.124925,4.683504,26.386433
Tetris wct,i1,14.60,0.33,8.75,43.181707,0.647769,0.129659,4.631693,16.522384
Tetris wct,i1,14.61,0.41,8.87,42.125236,0.647506,0.128344,4.448908,30.344958
Tetris wct,i1,14.66,0.29,8.78,42.697261,0.647506,0.129659,4.596714,25.182226
Tetris wct,i1,14.68,0.33,8.83,42.516054,0.647243,0.130185,4.420767,38.817795
Tetris wct,i1,14.69,0.29,8.83,42.352468,0.643561,0.129133,4.484676,91.423920
Tetris wct,i1,14.70,0.31,8.84,42.234644,0.642246,0.128344,4.481257,25.882182
Tetris wct,i1,14.70,0.31,8.86,42.461613,0.641457,0.129922,4.517025,26.088272
Tetris wct,i1,14.70,0.36,8.93,42.400334,0.668283,0.134130,4.472578,23.285461
Tetris wct,i1,14.71,0.34,8.89,42.061853,0.649610,0.128344,4.368956,11.576480
Tetris wct,i1,14.72,0.29,8.86,42.428738,0.647506,0.129659,4.382369,26.965564
Tetris wct,i1,14.72,0.34,8.91,42.254895,0.642509,0.129659,4.365011,74.343907
Tetris wct,i1,14.73,0.21,8.77,42.553926,0.641720,0.129133,4.623540,23.480628
Tetris wct,i1,14.73,0.27,8.86,42.282510,0.640405,0.124925,4.389733,37.243662
Tetris wct,i1,14.73,0.37,8.95,41.613964,0.643561,0.129922,4.428131,10.718726
Tetris wct,i1,14.74,0.31,8.89,42.449778,0.651714,0.125188,4.366063,76.141831
Tetris wct,i1,14.74,0.31,8.92,41.960598,0.642772,0.131500,4.473367,30.926833
Tetris wct,i1,14.74,0.32,8.90,42.088416,0.650399,0.129133,4.461795,19.930024
Tetris wct,i1,14.74,0.34,8.92,42.355361,0.656711,0.133867,4.547007,31.914881
Tetris wct,i1,14.75,0.26,8.85,42.770901,0.649084,0.127818,4.479679,36.342698
Tetris wct,i1,14.75,0.33,8.91,42.019773,0.648821,0.127818,4.388418,16.393925
Tetris wct,i1,14.75,0.35,8.96,41.705751,0.666442,0.125977,4.340026,7.734794
Tetris wct,i1,14.75,0.39,9.01,43.191964,0.665127,0.134130,4.335029,47.364215
Tetris wct,i1,14.76,0.26,8.87,42.572073,0.646454,0.130185,4.481783,24.990761
Tetris wct,i1,14.76,0.31,8.93,42.492910,0.644876,0.128870,4.460217,21.179409
Tetris wct,i1,14.76,0.34,8.94,42.079211,0.644876,0.126240,4.420504,36.793407
Tetris wct,i1,14.76,0.35,8.98,43.363966,0.665127,0.134130,4.363959,52.421121
Tetris wct,i1,14.77,0.26,8.86,42.365355,0.643298,0.126766,4.411299,46.366251
Tetris wct,i1,14.77,0.27,8.86,42.034764,0.648821,0.129659,4.411825,20.538319
Tetris wct,i1,14.77,0.29,8.90,41.843300,0.638038,0.129659,4.321616,7.067081
Tetris wct,i1,14.77,0.31,8.94,42.178625,0.641720,0.130974,4.514132,78.255843
Tetris wct,i1,14.78,0.25,8.88,42.323012,0.648295,0.127292,4.359488,55.560636
Tetris wct,i1,14.78,0.26,8.88,41.796749,0.645928,0.128081,4.373164,29.708871
Tetris wct,i1,14.78,0.27,8.89,42.006886,0.646191,0.124662,4.334503,29.048410
Tetris wct,i1,14.78,0.30,8.91,41.890114,0.639879,0.129922,4.384736,10.014556
Tetris wct,i1,14.80,0.31,8.96,43.149095,0.666442,0.134130,4.366852,84.790424
Tetris wct,i1,14.80,0.33,8.98,43.782136,0.665390,0.134130,4.322405,35.134273
Tetris wct,i1,14.81,0.25,8.90,41.796486,0.644876,0.130185,4.316619,8.415128
Tetris wct,i1,14.81,0.28,8.93,41.857765,0.645139,0.124662,4.406302,23.733461
Tetris wct,i1,14.81,0.30,8.93,41.930616,0.643824,0.127555,4.383947,27.692818
Tetris wct,i1,14.82,0.29,8.96,43.161456,0.673280,0.131237,4.387103,21.079571
Tetris wct,i1,14.82,0.30,8.96,43.081504,0.663286,0.133604,4.426553,29.035576
Tetris wct,i1,14.83,0.28,8.96,43.340822,0.672754,0.128081,4.408669,30.295792
Tetris wct,i1,14.83,0.31,9.00,42.858480,0.664075,0.129396,4.400253,50.090276
Tetris wct,i1,14.83,0.32,9.00,43.147254,0.663812,0.134130,4.324509,34.203893
Tetris wct,i1,14.84,0.29,8.98,43.083608,0.663286,0.134130,4.345286,35.254277
Tetris wct,i1,14.84,0.30,8.98,42.846119,0.664338,0.126503,4.296105,28.430992
Tetris wct,i1,14.84,0.30,8.98,43.199591,0.663023,0.129396,4.293738,18.516182
Tetris wct,i1,14.85,0.25,8.94,42.166001,0.650136,0.126503,4.402094,22.534039
Tetris wct,i1,14.90,0.23,8.99,42.961839,0.659341,0.133867,4.376846,8.462003
Tetris wct,i2,13.78,0.34,7.89,38.716493,0.591750,0.088894,4.889959,34.852566
Tetris wct,i2,14.56,0.35,8.74,42.845856,0.645928,0.124925,4.683504,108.859007
Tetris wct,i2,14.57,0.39,8.76,42.697261,0.647506,0.129659,4.596714,28.907745
Tetris wct,i2,14.65,0.26,8.71,43.181707,0.647769,0.129659,4.631693,20.381529
Tetris wct,i2,14.65,0.34,8.79,42.770901,0.649084,0.127818,4.479679,41.157396
Tetris wct,i2,14.65,0.37,8.81,42.461613,0.641457,0.129922,4.517025,41.894355
Tetris wct,i2,14.67,0.34,8.82,42.125236,0.647506,0.128344,4.448908,24.264633
Tetris wct,i2,14.67,0.38,8.84,42.061853,0.649610,0.128344,4.368956,15.102503
Tetris wct,i2,14.69,0.27,8.75,42.553926,0.641720,0.129133,4.623540,67.188409
Tetris wct,i2,14.70,0.32,8.80,42.352468,0.643561,0.129133,4.484676,41.038392
Tetris wct,i2,14.70,0.34,8.85,41.796749,0.645928,0.128081,4.373164,25.866683
Tetris wct,i2,14.70,0.34,8.85,42.355361,0.656711,0.129922,4.400779,19.840564
Tetris wct,i2,14.70,0.34,8.85,42.572073,0.646454,0.130185,4.481783,78.017884
Tetris wct,i2,14.70,0.37,8.85,42.034764,0.648821,0.129659,4.411825,46.959132
Tetris wct,i2,14.71,0.31,8.81,42.516054,0.647243,0.130185,4.420767,21.303073
Tetris wct,i2,14.71,0.34,8.86,42.006886,0.646191,0.124662,4.334503,24.374011
Tetris wct,i2,14.73,0.26,8.79,42.234644,0.642246,0.128344,4.481257,35.066484
Tetris wct,i2,14.73,0.35,8.88,42.178625,0.641720,0.127029,4.370534,26.269560
Tetris wct,i2,14.74,0.32,8.83,42.088416,0.650399,0.129133,4.461795,16.265424
Tetris wct,i2,14.74,0.32,8.85,42.400334,0.649084,0.130185,4.358962,8.160880
Tetris wct,i2,14.74,0.33,8.88,42.170998,0.650136,0.124136,4.275065,21.238074
Tetris wct,i2,14.74,0.34,8.87,42.254895,0.642509,0.129659,4.365011,42.507565
Tetris wct,i2,14.74,0.35,8.93,41.930616,0.643824,0.131500,4.383947,79.043641
Tetris wct,i2,14.75,0.29,8.87,42.323012,0.648295,0.127292,4.359488,49.782483
Tetris wct,i2,14.76,0.28,8.82,42.282510,0.640405,0.124925,4.389733,20.770153
Tetris wct,i2,14.76,0.30,8.85,42.449778,0.651714,0.125188,4.366063,22.268580
Tetris wct,i2,14.76,0.30,8.86,41.843300,0.638038,0.129659,4.321616,37.219575
Tetris wct,i2,14.76,0.34,8.90,41.613964,0.643561,0.125977,4.301102,12.906782
Tetris wct,i2,14.77,0.32,8.89,42.079211,0.644876,0.126240,4.311885,19.876066
Tetris wct,i2,14.77,0.36,8.91,41.841459,0.645665,0.130185,4.228251,18.853479
Tetris wct,i2,14.77,0.38,8.93,41.689182,0.638301,0.129922,4.376846,40.603931
Tetris wct,i2,14.78,0.29,8.87,41.960598,0.642772,0.127555,4.365011,46.699464
Tetris wct,i2,14.78,0.31,8.88,42.166001,0.650136,0.122821,4.281114,43.236070
Tetris wct,i2,14.78,0.33,8.90,42.019773,0.648821,0.127818,4.246398,21.879202
Tetris wct,i2,14.79,0.32,8.89,41.853294,0.642509,0.129659,4.313200,25.058884
Tetris wct,i2,14.80,0.28,8.86,42.492910,0.644876,0.128870,4.359225,56.471101
Tetris wct,i2,14.81,0.24,8.83,42.428738,0.647506,0.129659,4.382369,21.620409
Tetris wct,i2,14.81,0.30,8.91,41.705751,0.647769,0.122295,4.340026,85.578423
Tetris wct,i2,14.82,0.24,8.86,42.365355,0.643298,0.126766,4.411299,10.425642
Tetris wct,i2,14.82,0.31,8.93,42.443729,0.646191,0.130185,4.210893,51.594782
Tetris wct,i2,14.83,0.27,8.89,41.879594,0.653818,0.127292,4.239297,12.799069
Tetris wct,i2,14.83,0.31,8.95,43.083608,0.663286,0.134130,4.345286,50.389522
Tetris wct,i2,14.83,0.32,8.94,42.091572,0.665127,0.134130,4.363959,42.956276
Tetris wct,i2,14.84,0.23,8.88,41.890114,0.639879,0.129922,4.384736,61.408793
Tetris wct,i2,14.84,0.26,8.89,41.796486,0.644876,0.130185,4.316619,77.576426
Tetris wct,i2,14.85,0.27,8.91,41.857765,0.645139,0.124662,4.271646,35.474278
Tetris wct,i2,14.86,0.29,8.93,41.579774,0.644613,0.129396,4.400253,26.270308
Tetris wct,i2,14.86,0.31,8.96,42.846119,0.664338,0.126503,4.296105,27.262191
Tetris wct,i2,14.88,0.25,8.93,41.871704,0.643035,0.129396,4.293738,15.779252
Tetris wct,i2,14.89,0.27,8.95,41.936139,0.665127,0.134130,4.335029,10.787602
Tetris wct,i2,14.92,0.23,8.94,41.856976,0.645139,0.134130,4.324509,34.341601
Tetris wct,i3,13.77,0.34,7.90,40.042539,0.591750,0.088894,4.889959,22.707374
Tetris wct,i3,14.56,0.36,8.72,43.181707,0.647769,0.129659,4.631693,30.444834
Tetris wct,i3,14.57,0.33,8.70,42.845856,0.645928,0.124925,4.683504,46.669503
Tetris wct,i3,14.61,0.36,8.77,42.697261,0.647506,0.129659,4.596714,85.516387
Tetris wct,i3,14.65,0.31,8.75,42.553926,0.641720,0.129133,4.623540,31.601802
Tetris wct,i3,14.66,0.38,8.83,42.282510,0.640405,0.124925,4.389733,25.834681
Tetris wct,i3,14.67,0.37,8.85,42.061853,0.649610,0.128344,4.368956,23.233335
Tetris wct,i3,14.67,0.39,8.83,42.088416,0.650399,0.129133,4.461795,16.638920
Tetris wct,i3,14.67,0.40,8.85,42.449778,0.651714,0.125188,4.366063,15.136832
Tetris wct,i3,14.68,0.34,8.82,42.516054,0.647243,0.130185,4.420767,45.699122
Tetris wct,i3,14.69,0.31,8.79,42.352468,0.643561,0.129133,4.484676,26.714188
Tetris wct,i3,14.69,0.33,8.80,42.461613,0.641457,0.129922,4.517025,16.660505
Tetris wct,i3,14.70,0.35,8.87,42.365355,0.643298,0.126766,4.411299,39.480925
Tetris wct,i3,14.71,0.29,8.78,42.234644,0.642246,0.128344,4.481257,29.510787
Tetris wct,i3,14.71,0.35,8.86,41.960598,0.642772,0.127555,4.365011,26.532811
Tetris wct,i3,14.72,0.33,8.83,42.034764,0.648821,0.129659,4.411825,13.771367
Tetris wct,i3,14.73,0.27,8.79,42.770901,0.649084,0.127818,4.479679,33.758312
Tetris wct,i3,14.73,0.30,8.84,41.796749,0.645928,0.128081,4.373164,34.349064
Tetris wct,i3,14.73,0.33,8.86,42.492910,0.644876,0.128870,4.359225,85.169173
Tetris wct,i3,14.74,0.28,8.81,42.125236,0.647506,0.128344,4.448908,24.055463
Tetris wct,i3,14.74,0.34,8.88,42.006886,0.646191,0.124662,4.334503,63.157261
Tetris wct,i3,14.75,0.28,8.84,42.355361,0.656711,0.129922,4.400779,32.680513
Tetris wct,i3,14.75,0.30,8.84,42.323012,0.648295,0.127292,4.359488,53.047582
Tetris wct,i3,14.75,0.30,8.86,42.400334,0.649084,0.130185,4.358962,43.110525
Tetris wct,i3,14.75,0.33,8.85,41.843300,0.638038,0.129659,4.321616,37.239996
Tetris wct,i3,14.76,0.33,8.88,42.178625,0.641720,0.127029,4.370534,27.873773
Tetris wct,i3,14.76,0.34,8.89,41.879594,0.653818,0.127292,4.239297,16.024297
Tetris wct,i3,14.76,0.35,8.90,42.019773,0.648821,0.127818,4.246398,55.546554
Tetris wct,i3,14.77,0.35,8.90,41.780180,0.644087,0.130185,4.227462,42.221648
Tetris wct,i3,14.79,0.27,8.85,42.428738,0.647506,0.129659,4.382369,39.780050
Tetris wct,i3,14.79,0.34,8.92,41.841459,0.645665,0.130185,4.228251,30.487539
Tetris wct,i3,14.80,0.27,8.86,42.254895,0.642509,0.129659,4.365011,58.475487
Tetris wct,i3,14.80,0.27,8.88,42.166001,0.650136,0.122821,4.281114,14.335241
Tetris wct,i3,14.80,0.30,8.89,42.170998,0.650136,0.124136,4.275065,51.935866
Tetris wct,i3,14.80,0.36,8.93,41.579774,0.644613,0.125451,4.400253,22.115911
Tetris wct,i3,14.81,0.30,8.89,41.796486,0.644876,0.130185,4.316619,27.121315
Tetris wct,i3,14.81,0.30,8.90,41.930616,0.643824,0.127555,4.270068,57.655024
Tetris wct,i3,14.81,0.30,8.92,42.091572,0.645928,0.130185,4.363959,41.030428
Tetris wct,i3,14.82,0.22,8.84,42.572073,0.646454,0.130185,4.481783,30.881375
Tetris wct,i3,14.83,0.26,8.88,41.890114,0.639879,0.129922,4.384736,93.797844
Tetris wct,i3,14.84,0.27,8.90,41.705751,0.647769,0.122295,4.208000,32.977056
Tetris wct,i3,14.84,0.28,8.91,41.613964,0.643561,0.125977,4.301102,14.850875
Tetris wct,i3,14.84,0.31,8.95,43.191964,0.665127,0.134130,4.335029,41.940977
Tetris wct,i3,14.85,0.26,8.89,41.853294,0.642509,0.129659,4.313200,28.510696
Tetris wct,i3,14.85,0.26,8.91,42.079211,0.644876,0.126240,4.420504,37.864083
Tetris wct,i3,14.85,0.27,8.91,42.443729,0.646191,0.130185,4.210893,21.810079
Tetris wct,i3,14.85,0.29,8.93,41.565309,0.645139,0.122558,4.188275,10.591349
Tetris wct,i3,14.85,0.29,8.93,41.689182,0.659341,0.133867,4.376846,9.033507
Tetris wct,i3,14.87,0.25,8.91,41.857765,0.645139,0.124662,4.406302,47.480970
Tetris wct,i3,14.87,0.29,8.95,41.856976,0.663812,0.134130,4.324509,58.463570
Tetris wct,i3,14.88,0.28,8.93,41.871704,0.643035,0.129396,4.293738,83.252789
Tetris wct,i4,13.89,0.24,7.89,40.042539,0.591750,0.088894,4.889959,57.087810
Tetris wct,i4,14.60,0.32,8.71,43.181707,0.647769,0.129659,4.631693,6.809661
Tetris wct,i4,14.63,0.29,8.70,42.845856,0.645928,0.124925,4.683504,47.769633
Tetris wct,i4,14.67,0.31,8.74,42.553926,0.641720,0.129133,4.623540,25.214304
Tetris wct,i4,14.68,0.29,8.76,42.697261,0.647506,0.129659,4.596714,24.025796
Tetris wct,i4,14.69,0.37,8.85,41.843300,0.638038,0.129659,4.321616,16.648756
Tetris wct,i4,14.69,0.37,8.85,42.034764,0.648821,0.129659,4.411825,62.035632
Tetris wct,i4,14.70,0.31,8.80,42.770901,0.649084,0.127818,4.479679,28.587528
Tetris wct,i4,14.70,0.32,8.82,42.516054,0.647243,0.130185,4.420767,111.725605
Tetris wct,i4,14.71,0.31,8.79,42.352468,0.643561,0.129133,4.484676,32.521051
Tetris wct,i4,14.72,0.30,8.79,42.461613,0.641457,0.129922,4.517025,54.581425
Tetris wct,i4,14.72,0.31,8.81,42.125236,0.647506,0.128344,4.448908,6.958117
Tetris wct,i4,14.72,0.34,8.85,42.088416,0.650399,0.129133,4.461795,12.557403
Tetris wct,i4,14.73,0.33,8.84,42.061853,0.649610,0.128344,4.368956,29.729246
Tetris wct,i4,14.73,0.34,8.84,42.572073,0.646454,0.130185,4.481783,31.723170
Tetris wct,i4,14.73,0.36,8.87,41.796486,0.644876,0.130185,4.316619,12.774323
Tetris wct,i4,14.73,0.37,8.88,42.166001,0.650136,0.122821,4.281114,36.404244
Tetris wct,i4,14.74,0.27,8.79,42.234644,0.642246,0.128344,4.481257,43.704489
Tetris wct,i4,14.74,0.34,8.86,41.960598,0.642772,0.127555,4.365011,27.433026
Tetris wct,i4,14.75,0.27,8.83,42.428738,0.647506,0.129659,4.382369,24.292508
Tetris wct,i4,14.75,0.29,8.83,42.282510,0.640405,0.124925,4.389733,10.572054
Tetris wct,i4,14.76,0.39,8.93,41.689182,0.638301,0.133867,4.376846,56.918390
Tetris wct,i4,14.77,0.29,8.84,42.365355,0.643298,0.126766,4.411299,25.786306
Tetris wct,i4,14.77,0.29,8.87,42.492910,0.644876,0.128870,4.359225,23.521543
Tetris wct,i4,14.77,0.31,8.86,42.323012,0.648295,0.127292,4.359488,48.127476
Tetris wct,i4,14.77,0.33,8.88,41.613964,0.643561,0.125977,4.301102,34.707608
Tetris wct,i4,14.78,0.26,8.83,42.355361,0.656711,0.129922,4.400779,23.850214
Tetris wct,i4,14.78,0.26,8.84,41.796749,0.645928,0.128081,4.373164,16.469007
Tetris wct,i4,14.78,0.29,8.87,41.890114,0.639879,0.129922,4.384736,28.499700
Tetris wct,i4,14.78,0.33,8.89,42.079211,0.644876,0.126240,4.311885,21.521993
Tetris wct,i4,14.79,0.29,8.86,42.400334,0.649084,0.130185,4.358962,18.229308
Tetris wct,i4,14.80,0.29,8.88,42.254895,0.642509,0.129659,4.365011,55.599967
Tetris wct,i4,14.80,0.31,8.90,41.705751,0.647769,0.122295,4.208000,11.278898
Tetris wct,i4,14.81,0.33,8.93,42.091572,0.645928,0.134130,4.363959,31.864343
Tetris wct,i4,14.82,0.28,8.86,42.178625,0.641720,0.127029,4.370534,59.028652
Tetris wct,i4,14.82,0.28,8.89,42.170998,0.650136,0.124136,4.275065,85.386592
Tetris wct,i4,14.82,0.29,8.91,42.019773,0.648821,0.127818,4.246398,23.082586
Tetris wct,i4,14.83,0.26,8.89,42.006886,0.646191,0.124662,4.334503,76.375207
Tetris wct,i4,14.83,0.30,8.90,41.853294,0.642509,0.129659,4.313200,81.800405
Tetris wct,i4,14.83,0.31,8.92,41.780180,0.644087,0.130185,4.345286,91.493289
Tetris wct,i4,14.83,0.31,8.93,41.841459,0.645665,0.134130,4.366852,26.971649
Tetris wct,i4,14.83,0.31,8.93,41.857765,0.645139,0.124662,4.406302,60.345081
Tetris wct,i4,14.84,0.24,8.86,42.449778,0.651714,0.125188,4.366063,53.901379
Tetris wct,i4,14.84,0.26,8.89,41.879594,0.653818,0.127292,4.239297,13.843201
Tetris wct,i4,14.84,0.32,8.94,41.565309,0.664338,0.126503,4.296105,39.290465
Tetris wct,i4,14.85,0.30,8.94,41.579774,0.664075,0.129396,4.400253,39.728636
Tetris wct,i4,14.85,0.33,8.92,42.443729,0.646191,0.134130,4.322405,53.180749
Tetris wct,i4,14.87,0.30,8.94,41.871704,0.663023,0.129396,4.293738,20.332236
Tetris wct,i4,14.90,0.22,8.90,41.930616,0.643824,0.127555,4.270068,38.267125
Tetris wct,i4,14.91,0.26,8.95,41.936139,0.665127,0.134130,4.335029,13.359698
Tetris wct,i4,14.94,0.22,8.94,43.147254,0.663812,0.134130,4.324509,66.738111
Dynamic,i1,14.34,0.23,7.45,40.383650,0.590698,0.075481,4.790545,35.183891
Dynamic,i1,14.85,0.27,7.91,45.188923,0.606478,0.116772,4.154611,39.256626
Dynamic,i1,14.97,0.28,7.88,45.570799,0.618839,0.108882,4.219835,95.156837
Dynamic,i1,15.12,0.30,8.73,44.025411,0.658026,0.122032,3.965251,34.687434
Dynamic,i1,15.21,0.32,9.30,43.808436,0.703788,0.131763,3.809555,54.564747
Dynamic,i1,15.22,0.32,8.85,44.396241,0.672754,0.124925,3.798246,43.848273
Dynamic,i1,15.26,0.32,8.57,41.337288,0.646191,0.117824,3.364296,46.365873
Dynamic,i1,15.31,0.31,8.20,46.669087,0.641983,0.119139,4.208789,6.581784
Dynamic,i1,15.35,0.33,7.98,37.635037,0.608845,0.110460,3.371660,23.958299
Dynamic,i1,15.48,0.25,8.09,36.997525,0.607793,0.110460,3.283555,53.451157
Dynamic,i1,15.48,0.28,8.04,39.768756,0.604637,0.112564,3.486328,33.735220
Dynamic,i1,15.51,0.27,8.16,36.462583,0.623310,0.113879,3.269353,10.243428
Dynamic,i1,15.53,0.22,8.08,38.462435,0.608319,0.109145,3.357458,33.955470
Dynamic,i1,15.53,0.31,8.26,39.706951,0.617787,0.113879,3.613094,119.447882
Dynamic,i1,15.55,0.37,8.75,43.700606,0.662497,0.123084,3.720924,20.031062
Dynamic,i1,15.58,0.23,8.09,41.637108,0.621206,0.116509,3.696991,46.691413
Dynamic,i1,15.60,0.26,8.03,38.870348,0.614368,0.109408,3.423997,31.559456
Dynamic,i1,15.61,0.37,8.62,41.786492,0.649084,0.118087,3.810607,60.672742
Dynamic,i1,15.63,0.24,8.36,39.217245,0.630674,0.112564,3.529460,28.149104
Dynamic,i1,15.63,0.31,8.58,41.239189,0.654870,0.119139,3.630978,44.322897
Dynamic,i1,15.66,0.23,8.05,36.682188,0.598851,0.110460,3.228325,23.192495
Dynamic,i1,15.73,0.26,8.23,38.731221,0.626992,0.113353,3.379550,34.267804
Dynamic,i1,15.74,0.24,8.12,37.814929,0.606478,0.110460,3.205707,41.314926
Dynamic,i1,15.76,0.31,8.28,39.449474,0.625940,0.113090,3.341941,38.959327
Dynamic,i1,15.78,0.25,8.33,40.927271,0.629885,0.113879,3.416896,50.353558
Dynamic,i1,15.80,0.24,8.31,39.707740,0.623310,0.114142,3.456609,17.296965
Dynamic,i1,15.80,0.26,8.37,39.056289,0.625940,0.113879,3.376131,27.690275
Dynamic,i1,15.80,0.32,8.18,40.987498,0.621995,0.113353,3.395593,24.766803
Dynamic,i1,15.81,0.20,8.40,39.065231,0.631200,0.117298,3.452401,72.268714
Dynamic,i1,15.83,0.29,8.44,41.987424,0.646454,0.116509,3.628085,34.232392
Dynamic,i1,15.84,0.27,8.31,39.204884,0.630937,0.113879,3.443459,12.655316
Dynamic,i1,15.85,0.38,8.48,40.212437,0.642772,0.117824,3.522096,27.668770
Dynamic,i1,15.86,0.33,8.42,41.120313,0.643824,0.117035,3.485802,52.041818
Dynamic,i1,15.87,0.29,8.39,38.914006,0.630937,0.113353,3.600470,25.668927
Dynamic,i1,15.87,0.31,8.49,40.739226,0.652503,0.124399,3.447667,25.941303
Dynamic,i1,15.89,0.31,8.42,38.955823,0.629885,0.117035,3.381128,49.376259
Dynamic,i1,15.90,0.30,8.45,41.141879,0.643824,0.117561,3.463973,8.796215
Dynamic,i1,15.91,0.35,8.51,40.728180,0.637775,0.117561,3.452927,11.704727
Dynamic,i1,15.92,0.38,8.64,40.606937,0.650399,0.120454,3.442144,12.868777
